date,crop,price_pkr,unit,source
2016-02-04,Apple,83.93,Kg,historical_csv
2016-02-11,Apple,95.0,Kg,historical_csv
2016-02-18,Apple,95.0,Kg,historical_csv
2016-02-25,Apple,95.0,Kg,historical_csv
2016-03-03,Apple,101.67,Kg,historical_csv
2016-03-10,Apple,102.14,Kg,historical_csv
2016-03-17,Apple,100.0,Kg,historical_csv
2016-03-24,Apple,102.14,Kg,historical_csv
2016-03-31,Apple,99.29,Kg,historical_csv
2016-04-07,Apple,100.71,Kg,historical_csv
2016-04-14,Apple,101.07,Kg,historical_csv
2016-04-21,Apple,105.0,Kg,historical_csv
2016-04-28,Apple,105.0,Kg,historical_csv
2016-05-05,Apple,112.86,Kg,historical_csv
2016-05-12,Apple,105.0,Kg,historical_csv
2016-05-19,Apple,105.0,Kg,historical_csv
2016-05-26,Apple,105.0,Kg,historical_csv
2016-06-02,Apple,105.0,Kg,historical_csv
2016-06-09,Apple,104.29,Kg,historical_csv
2016-06-16,Apple,115.0,Kg,historical_csv
2016-06-23,Apple,105.0,Kg,historical_csv
2016-06-30,Apple,116.43,Kg,historical_csv
2016-07-07,Apple,125.0,Kg,historical_csv
2016-07-14,Apple,112.14,Kg,historical_csv
2016-07-21,Apple,125.0,Kg,historical_csv
2016-07-28,Apple,155.0,Kg,historical_csv
2016-08-04,Apple,117.86,Kg,historical_csv
2016-08-11,Apple,115.0,Kg,historical_csv
2016-08-18,Apple,106.43,Kg,historical_csv
2016-08-25,Apple,113.57,Kg,historical_csv
2016-09-01,Apple,122.14,Kg,historical_csv
2016-09-08,Apple,127.14,Kg,historical_csv
2016-09-15,Apple,119.29,Kg,historical_csv
2016-09-22,Apple,123.57,Kg,historical_csv
2016-09-29,Apple,125.0,Kg,historical_csv
2016-10-06,Apple,122.14,Kg,historical_csv
2016-10-13,Apple,117.86,Kg,historical_csv
2016-10-20,Apple,105.0,Kg,historical_csv
2016-10-27,Apple,113.57,Kg,historical_csv
2016-11-03,Apple,103.57,Kg,historical_csv
2016-11-10,Apple,100.71,Kg,historical_csv
2016-11-17,Apple,105.0,Kg,historical_csv
2016-11-24,Apple,105.0,Kg,historical_csv
2016-12-01,Apple,105.0,Kg,historical_csv
2016-12-08,Apple,105.0,Kg,historical_csv
2016-12-15,Apple,97.86,Kg,historical_csv
2016-12-22,Apple,95.0,Kg,historical_csv
2016-12-29,Apple,95.0,Kg,historical_csv
2017-01-05,Apple,95.0,Kg,historical_csv
2017-01-12,Apple,95.0,Kg,historical_csv
2017-01-19,Apple,97.86,Kg,historical_csv
2017-01-26,Apple,95.0,Kg,historical_csv
2017-02-02,Apple,95.0,Kg,historical_csv
2017-02-09,Apple,95.0,Kg,historical_csv
2017-02-16,Apple,100.71,Kg,historical_csv
2017-02-23,Apple,105.0,Kg,historical_csv
2017-03-02,Apple,105.0,Kg,historical_csv
2017-03-09,Apple,105.0,Kg,historical_csv
2017-03-16,Apple,101.67,Kg,historical_csv
2017-03-23,Apple,102.14,Kg,historical_csv
2017-03-30,Apple,105.0,Kg,historical_csv
2017-04-06,Apple,105.0,Kg,historical_csv
2017-04-13,Apple,105.0,Kg,historical_csv
2017-04-20,Apple,105.0,Kg,historical_csv
2017-04-27,Apple,105.0,Kg,historical_csv
2017-05-04,Apple,105.0,Kg,historical_csv
2017-05-11,Apple,105.0,Kg,historical_csv
2017-05-18,Apple,105.0,Kg,historical_csv
2017-05-25,Apple,105.0,Kg,historical_csv
2017-06-01,Apple,107.86,Kg,historical_csv
2017-06-08,Apple,115.0,Kg,historical_csv
2017-06-15,Apple,115.0,Kg,historical_csv
2017-06-22,Apple,115.0,Kg,historical_csv
2017-06-29,Apple,115.0,Kg,historical_csv
2017-07-06,Apple,115.0,Kg,historical_csv
2017-07-13,Apple,113.57,Kg,historical_csv
2017-07-20,Apple,107.86,Kg,historical_csv
2017-07-27,Apple,115.0,Kg,historical_csv
2017-08-03,Apple,115.0,Kg,historical_csv
2017-08-10,Apple,111.43,Kg,historical_csv
2017-08-17,Apple,105.0,Kg,historical_csv
2017-08-24,Apple,107.86,Kg,historical_csv
2017-08-31,Apple,117.86,Kg,historical_csv
2017-09-07,Apple,115.0,Kg,historical_csv
2017-09-14,Apple,115.0,Kg,historical_csv
2017-09-21,Apple,115.0,Kg,historical_csv
2017-09-28,Apple,105.0,Kg,historical_csv
2017-10-05,Apple,95.0,Kg,historical_csv
2017-10-12,Apple,97.86,Kg,historical_csv
2017-10-19,Apple,100.71,Kg,historical_csv
2017-10-26,Apple,103.57,Kg,historical_csv
2017-11-02,Apple,95.0,Kg,historical_csv
2017-11-09,Apple,95.0,Kg,historical_csv
2017-11-16,Apple,95.0,Kg,historical_csv
2017-11-23,Apple,95.0,Kg,historical_csv
2017-11-30,Apple,95.0,Kg,historical_csv
2017-12-07,Apple,95.0,Kg,historical_csv
2017-12-14,Apple,95.0,Kg,historical_csv
2017-12-21,Apple,95.0,Kg,historical_csv
2017-12-28,Apple,95.0,Kg,historical_csv
2018-01-04,Apple,95.0,Kg,historical_csv
2018-01-11,Apple,95.0,Kg,historical_csv
2018-01-18,Apple,101.67,Kg,historical_csv
2018-01-25,Apple,102.14,Kg,historical_csv
2018-02-01,Apple,95.0,Kg,historical_csv
2018-02-08,Apple,89.29,Kg,historical_csv
2018-02-15,Apple,92.14,Kg,historical_csv
2018-02-22,Apple,95.0,Kg,historical_csv
2018-03-01,Apple,90.71,Kg,historical_csv
2018-03-08,Apple,85.0,Kg,historical_csv
2018-03-15,Apple,93.57,Kg,historical_csv
2018-03-22,Apple,95.0,Kg,historical_csv
2018-03-29,Apple,95.0,Kg,historical_csv
2018-04-05,Apple,95.0,Kg,historical_csv
2018-04-12,Apple,95.0,Kg,historical_csv
2018-04-19,Apple,102.14,Kg,historical_csv
2018-04-26,Apple,95.0,Kg,historical_csv
2018-05-03,Apple,95.0,Kg,historical_csv
2018-05-10,Apple,95.0,Kg,historical_csv
2018-05-17,Apple,95.0,Kg,historical_csv
2018-05-24,Apple,95.0,Kg,historical_csv
2018-05-31,Apple,95.0,Kg,historical_csv
2018-06-07,Apple,95.0,Kg,historical_csv
2018-06-14,Apple,95.0,Kg,historical_csv
2018-06-21,Apple,95.0,Kg,historical_csv
2018-06-28,Apple,107.86,Kg,historical_csv
2018-07-05,Apple,107.86,Kg,historical_csv
2018-07-12,Apple,105.0,Kg,historical_csv
2018-07-19,Apple,105.0,Kg,historical_csv
2018-07-26,Apple,105.0,Kg,historical_csv
2018-08-02,Apple,105.0,Kg,historical_csv
2018-08-09,Apple,105.0,Kg,historical_csv
2018-08-16,Apple,105.0,Kg,historical_csv
2018-08-23,Apple,105.0,Kg,historical_csv
2018-08-30,Apple,110.0,Kg,historical_csv
2018-09-06,Apple,105.0,Kg,historical_csv
2018-09-13,Apple,105.0,Kg,historical_csv
2018-09-20,Apple,105.0,Kg,historical_csv
2018-09-27,Apple,105.0,Kg,historical_csv
2018-10-04,Apple,105.0,Kg,historical_csv
2018-10-11,Apple,105.0,Kg,historical_csv
2018-10-18,Apple,115.0,Kg,historical_csv
2018-10-25,Apple,115.0,Kg,historical_csv
2018-11-01,Apple,115.0,Kg,historical_csv
2018-11-08,Apple,113.57,Kg,historical_csv
2018-11-15,Apple,95.0,Kg,historical_csv
2018-11-22,Apple,99.29,Kg,historical_csv
2018-11-29,Apple,105.0,Kg,historical_csv
2018-12-06,Apple,105.71,Kg,historical_csv
2018-12-13,Apple,105.0,Kg,historical_csv
2018-12-20,Apple,103.57,Kg,historical_csv
2018-12-27,Apple,95.0,Kg,historical_csv
2019-01-03,Apple,95.0,Kg,historical_csv
2019-01-10,Apple,96.43,Kg,historical_csv
2019-01-17,Apple,105.0,Kg,historical_csv
2019-01-24,Apple,106.43,Kg,historical_csv
2019-01-31,Apple,115.71,Kg,historical_csv
2019-02-07,Apple,117.5,Kg,historical_csv
2019-02-14,Apple,119.64,Kg,historical_csv
2019-02-21,Apple,123.21,Kg,historical_csv
2019-02-28,Apple,121.07,Kg,historical_csv
2019-03-07,Apple,120.83,Kg,historical_csv
2019-03-14,Apple,122.5,Kg,historical_csv
2019-03-21,Apple,122.86,Kg,historical_csv
2019-03-28,Apple,122.86,Kg,historical_csv
2019-04-04,Apple,118.21,Kg,historical_csv
2019-04-11,Apple,115.0,Kg,historical_csv
2019-04-18,Apple,115.0,Kg,historical_csv
2019-04-25,Apple,115.0,Kg,historical_csv
2019-05-02,Apple,122.14,Kg,historical_csv
2019-05-09,Apple,125.36,Kg,historical_csv
2019-05-16,Apple,127.86,Kg,historical_csv
2019-05-23,Apple,150.71,Kg,historical_csv
2019-05-30,Apple,155.0,Kg,historical_csv
2019-06-06,Apple,221.43,Kg,historical_csv
2019-06-13,Apple,238.57,Kg,historical_csv
2019-06-20,Apple,233.93,Kg,historical_csv
2019-06-27,Apple,242.5,Kg,historical_csv
2019-07-04,Apple,245.0,Kg,historical_csv
2019-07-11,Apple,243.21,Kg,historical_csv
2019-07-18,Apple,242.5,Kg,historical_csv
2019-07-25,Apple,243.21,Kg,historical_csv
2019-08-01,Apple,248.57,Kg,historical_csv
2019-08-08,Apple,250.0,Kg,historical_csv
2019-08-15,Apple,315.0,Kg,historical_csv
2019-08-22,Apple,250.45,Kg,historical_csv
2019-08-29,Apple,195.0,Kg,historical_csv
2019-09-05,Apple,109.29,Kg,historical_csv
2019-09-12,Apple,105.0,Kg,historical_csv
2019-09-19,Apple,112.5,Kg,historical_csv
2019-09-26,Apple,119.29,Kg,historical_csv
2019-10-03,Apple,155.0,Kg,historical_csv
2019-10-10,Apple,188.57,Kg,historical_csv
2019-10-17,Apple,159.29,Kg,historical_csv
2019-10-24,Apple,145.0,Kg,historical_csv
2019-10-31,Apple,145.0,Kg,historical_csv
2019-11-07,Apple,145.0,Kg,historical_csv
2019-11-14,Apple,145.0,Kg,historical_csv
2019-11-21,Apple,123.57,Kg,historical_csv
2019-11-28,Apple,95.0,Kg,historical_csv
2019-12-05,Apple,95.0,Kg,historical_csv
2019-12-12,Apple,97.86,Kg,historical_csv
2019-12-19,Apple,109.29,Kg,historical_csv
2019-12-26,Apple,96.43,Kg,historical_csv
2020-01-02,Apple,95.0,Kg,historical_csv
2020-01-09,Apple,95.0,Kg,historical_csv
2020-01-16,Apple,95.0,Kg,historical_csv
2020-01-23,Apple,95.0,Kg,historical_csv
2020-01-30,Apple,95.0,Kg,historical_csv
2020-02-06,Apple,95.0,Kg,historical_csv
2020-02-13,Apple,105.0,Kg,historical_csv
2020-02-20,Apple,123.57,Kg,historical_csv
2020-02-27,Apple,113.57,Kg,historical_csv
2020-03-05,Apple,148.33,Kg,historical_csv
2020-03-12,Apple,212.14,Kg,historical_csv
2020-03-19,Apple,207.86,Kg,historical_csv
2020-03-26,Apple,216.67,Kg,historical_csv
2020-04-02,Apple,215.71,Kg,historical_csv
2020-04-09,Apple,223.33,Kg,historical_csv
2020-05-14,Apple,165.0,Kg,historical_csv
2020-05-21,Apple,182.14,Kg,historical_csv
2020-05-28,Apple,175.0,Kg,historical_csv
2020-06-04,Apple,172.14,Kg,historical_csv
2020-06-11,Apple,165.0,Kg,historical_csv
2020-06-18,Apple,165.0,Kg,historical_csv
2020-06-25,Apple,158.57,Kg,historical_csv
2020-07-02,Apple,96.43,Kg,historical_csv
2020-07-09,Apple,118.08,Kg,historical_csv
2020-07-16,Apple,120.0,Kg,historical_csv
2020-07-23,Apple,120.0,Kg,historical_csv
2020-07-30,Apple,120.0,Kg,historical_csv
2020-08-06,Apple,225.0,Kg,historical_csv
2020-08-13,Apple,222.86,Kg,historical_csv
2020-08-20,Apple,222.86,Kg,historical_csv
2020-08-27,Apple,219.64,Kg,historical_csv
2020-09-03,Apple,221.79,Kg,historical_csv
2020-09-10,Apple,220.0,Kg,historical_csv
2020-09-17,Apple,220.0,Kg,historical_csv
2020-09-24,Apple,220.0,Kg,historical_csv
2020-10-01,Apple,220.0,Kg,historical_csv
2020-10-08,Apple,220.0,Kg,historical_csv
2020-10-15,Apple,220.0,Kg,historical_csv
2020-10-22,Apple,232.92,Kg,historical_csv
2020-10-29,Apple,282.92,Kg,historical_csv
2020-11-05,Apple,262.86,Kg,historical_csv
2020-11-12,Apple,267.86,Kg,historical_csv
2020-11-19,Apple,269.23,Kg,historical_csv
2020-11-26,Apple,290.0,Kg,historical_csv
2020-12-03,Apple,243.85,Kg,historical_csv
2020-12-10,Apple,276.5,Kg,historical_csv
2020-12-17,Apple,264.55,Kg,historical_csv
2020-12-24,Apple,257.5,Kg,historical_csv
2020-12-31,Apple,257.5,Kg,historical_csv
2021-01-07,Apple,253.57,Kg,historical_csv
2021-01-14,Apple,242.5,Kg,historical_csv
2021-01-21,Apple,243.93,Kg,historical_csv
2021-01-28,Apple,247.5,Kg,historical_csv
2021-02-04,Apple,244.29,Kg,historical_csv
2021-02-11,Apple,236.43,Kg,historical_csv
2021-02-18,Apple,232.5,Kg,historical_csv
2021-02-25,Apple,229.29,Kg,historical_csv
2021-03-04,Apple,225.0,Kg,historical_csv
2021-03-11,Apple,223.93,Kg,historical_csv
2021-03-18,Apple,222.5,Kg,historical_csv
2021-03-25,Apple,222.5,Kg,historical_csv
2021-04-01,Apple,225.83,Kg,historical_csv
2021-04-22,Apple,226.82,Kg,historical_csv
2021-04-29,Apple,237.31,Kg,historical_csv
2021-05-06,Apple,277.5,Kg,historical_csv
2021-05-13,Apple,270.71,Kg,historical_csv
2025-04-03,Apple,232.5,Kg,historical_csv
2025-04-10,Apple,231.43,Kg,historical_csv
2025-04-17,Apple,232.31,Kg,historical_csv
2025-05-15,Apple,181.04,1 Kg,synthetic
2025-07-17,Apple,169.37,1 Kg,synthetic
2025-07-24,Apple,171.68,1 Kg,synthetic
2025-07-31,Apple,177.81,1 Kg,synthetic
2025-10-16,Apple,164.77,1 Kg,synthetic
2025-10-23,Apple,166.95,1 Kg,synthetic
2025-10-30,Apple,169.97,1 Kg,synthetic
2025-11-06,Apple,172.56,1 Kg,synthetic
2025-11-13,Apple,169.16,1 Kg,synthetic
2025-11-20,Apple,174.55,1 Kg,synthetic
2025-11-27,Apple,176.78,1 Kg,synthetic
2025-12-11,Apple,185.11,1 Kg,synthetic
2025-12-18,Apple,181.65,1 Kg,synthetic
2026-01-01,Apple,171.18,1 Kg,synthetic
2026-01-08,Apple,181.62,1 Kg,synthetic
2026-01-15,Apple,178.07,1 Kg,synthetic
2026-01-22,Apple,176.62,1 Kg,synthetic
2026-01-29,Apple,183.06,1 Kg,synthetic
2026-02-12,Apple,185.15,1 Kg,synthetic
2026-02-19,Apple,184.66,1 Kg,synthetic
2026-02-26,Apple,175.8,1 Kg,synthetic
2026-03-05,Apple,178.45,1 Kg,synthetic
2026-03-26,Apple,181.66,1 Kg,synthetic
2026-04-02,Apple,184.88,1 Kg,synthetic
2026-04-09,Apple,177.6,1 Kg,synthetic
2026-04-16,Apple,179.07,1 Kg,synthetic
2026-04-23,Apple,174.47,1 Kg,synthetic
2026-04-30,Apple,174.02,1 Kg,synthetic
2026-05-07,Apple,184.06,1 Kg,synthetic
2026-05-14,Apple,186.78,1 Kg,synthetic
2026-05-21,Apple,179.64,1 Kg,synthetic
2026-06-04,Apple,185.02,1 Kg,synthetic
2026-06-11,Apple,181.8,1 Kg,synthetic
2026-06-18,Apple,176.76,1 Kg,synthetic
2026-07-02,Apple,181.67,1 Kg,synthetic
2026-07-09,Apple,187.36,1 Kg,synthetic
2013-06-20,Banana,75.0,Doz,historical_csv
2013-08-01,Banana,55.0,Doz,historical_csv
2013-08-08,Banana,55.0,Doz,historical_csv
2013-08-15,Banana,51.67,Doz,historical_csv
2013-08-22,Banana,57.5,Doz,historical_csv
2013-08-29,Banana,55.0,Doz,historical_csv
2013-09-05,Banana,58.33,Doz,historical_csv
2013-09-12,Banana,56.67,Doz,historical_csv
2013-09-19,Banana,55.0,Doz,historical_csv
2013-09-26,Banana,53.33,Doz,historical_csv
2013-10-03,Banana,47.5,Doz,historical_csv
2013-10-10,Banana,51.67,Doz,historical_csv
2013-10-17,Banana,57.86,Doz,historical_csv
2013-10-24,Banana,55.0,Doz,historical_csv
2013-10-31,Banana,55.0,Doz,historical_csv
2013-11-07,Banana,55.42,Doz,historical_csv
2013-11-14,Banana,55.0,Doz,historical_csv
2013-11-21,Banana,58.33,Doz,historical_csv
2013-11-28,Banana,51.67,Doz,historical_csv
2013-12-05,Banana,48.33,Doz,historical_csv
2013-12-12,Banana,45.0,Doz,historical_csv
2013-12-19,Banana,44.5,Doz,historical_csv
2013-12-26,Banana,45.0,Doz,historical_csv
2014-01-02,Banana,45.0,Doz,historical_csv
2014-01-09,Banana,44.58,Doz,historical_csv
2014-01-16,Banana,45.0,Doz,historical_csv
2014-01-23,Banana,45.42,Doz,historical_csv
2014-01-30,Banana,46.5,Doz,historical_csv
2014-02-06,Banana,45.0,Doz,historical_csv
2014-02-13,Banana,49.29,Doz,historical_csv
2014-02-20,Banana,45.0,Doz,historical_csv
2014-02-27,Banana,47.0,Doz,historical_csv
2014-03-06,Banana,48.75,Doz,historical_csv
2014-03-13,Banana,49.17,Doz,historical_csv
2014-03-20,Banana,47.5,Doz,historical_csv
2014-03-27,Banana,57.5,Doz,historical_csv
2014-04-03,Banana,59.5,Doz,historical_csv
2014-04-10,Banana,61.0,Doz,historical_csv
2014-04-17,Banana,65.0,Doz,historical_csv
2014-04-24,Banana,79.0,Doz,historical_csv
2014-05-01,Banana,91.0,Doz,historical_csv
2014-05-08,Banana,93.33,Doz,historical_csv
2014-05-15,Banana,85.0,Doz,historical_csv
2014-05-22,Banana,110.0,Doz,historical_csv
2014-05-29,Banana,105.0,Doz,historical_csv
2014-06-05,Banana,87.5,Doz,historical_csv
2014-06-12,Banana,86.67,Doz,historical_csv
2014-06-19,Banana,80.0,Doz,historical_csv
2014-06-26,Banana,83.0,Doz,historical_csv
2014-07-03,Banana,85.0,Doz,historical_csv
2014-07-10,Banana,85.0,Doz,historical_csv
2014-07-17,Banana,85.0,Doz,historical_csv
2014-07-24,Banana,85.0,Doz,historical_csv
2014-07-31,Banana,83.57,Doz,historical_csv
2014-08-07,Banana,69.29,Doz,historical_csv
2014-08-14,Banana,65.0,Doz,historical_csv
2014-08-21,Banana,65.0,Doz,historical_csv
2014-08-28,Banana,59.64,Doz,historical_csv
2014-09-04,Banana,54.58,Doz,historical_csv
2014-09-11,Banana,48.93,Doz,historical_csv
2014-09-18,Banana,49.29,Doz,historical_csv
2014-09-25,Banana,49.17,Doz,historical_csv
2014-10-02,Banana,53.12,Doz,historical_csv
2014-10-09,Banana,52.5,Doz,historical_csv
2014-10-16,Banana,53.33,Doz,historical_csv
2014-10-23,Banana,54.58,Doz,historical_csv
2014-10-30,Banana,60.0,Doz,historical_csv
2014-11-06,Banana,59.64,Doz,historical_csv
2014-11-13,Banana,56.79,Doz,historical_csv
2014-11-20,Banana,55.36,Doz,historical_csv
2014-11-27,Banana,54.64,Doz,historical_csv
2014-12-04,Banana,53.21,Doz,historical_csv
2014-12-11,Banana,58.21,Doz,historical_csv
2014-12-18,Banana,58.93,Doz,historical_csv
2014-12-25,Banana,57.5,Doz,historical_csv
2015-01-01,Banana,56.07,Doz,historical_csv
2015-01-08,Banana,53.14,Doz,historical_csv
2015-01-15,Banana,53.0,Doz,historical_csv
2015-01-22,Banana,56.71,Doz,historical_csv
2015-01-29,Banana,61.67,Doz,historical_csv
2015-02-05,Banana,55.25,Doz,historical_csv
2015-02-12,Banana,52.5,Doz,historical_csv
2015-02-19,Banana,52.92,Doz,historical_csv
2015-02-26,Banana,64.17,Doz,historical_csv
2015-03-05,Banana,73.12,Doz,historical_csv
2015-03-12,Banana,75.0,Doz,historical_csv
2015-03-19,Banana,68.33,Doz,historical_csv
2015-03-26,Banana,65.0,Doz,historical_csv
2015-04-02,Banana,63.21,Doz,historical_csv
2015-04-09,Banana,66.25,Doz,historical_csv
2015-04-16,Banana,65.0,Doz,historical_csv
2015-04-23,Banana,74.64,Doz,historical_csv
2015-04-30,Banana,82.14,Doz,historical_csv
2015-05-07,Banana,96.43,Doz,historical_csv
2015-05-14,Banana,88.75,Doz,historical_csv
2015-05-21,Banana,96.43,Doz,historical_csv
2015-05-28,Banana,87.86,Doz,historical_csv
2015-06-04,Banana,85.0,Doz,historical_csv
2015-06-11,Banana,76.79,Doz,historical_csv
2015-06-18,Banana,83.93,Doz,historical_csv
2015-06-25,Banana,76.82,Doz,historical_csv
2015-07-02,Banana,64.62,Doz,historical_csv
2015-07-09,Banana,64.09,Doz,historical_csv
2015-07-16,Banana,64.23,Doz,historical_csv
2015-07-23,Banana,66.54,Doz,historical_csv
2015-07-30,Banana,66.67,Doz,historical_csv
2015-08-06,Banana,70.71,Doz,historical_csv
2015-08-13,Banana,70.71,Doz,historical_csv
2015-08-20,Banana,69.29,Doz,historical_csv
2015-08-27,Banana,64.29,Doz,historical_csv
2015-09-03,Banana,63.93,Doz,historical_csv
2015-09-10,Banana,64.64,Doz,historical_csv
2015-09-17,Banana,67.14,Doz,historical_csv
2015-09-24,Banana,61.43,Doz,historical_csv
2015-10-01,Banana,63.57,Doz,historical_csv
2015-10-08,Banana,66.07,Doz,historical_csv
